ply,depth,nodes,ebf,occupancy_pct,sec,fen
2100,10,2532738,4.3688,100.0,1.035,r1b2r1k/pp1nb1pp/1qn1p3/3pP3/3P4/P4NP1/1P2N1BP/R1BQKR2 b Q - 0 14
2105,10,1203245,4.0554,100.0,0.559,r1bn1r1k/1p1nb2p/1q2p3/p2pP1p1/3P1N2/P4NPP/1P4B1/R1BQKR2 w Q - 0 17
2110,10,1341529,4.0998,100.0,0.615,r1bn3k/1p1nbr2/1q2p1Qp/p2pP1p1/3P4/P4NPP/1P2N1B1/R1B1KR2 b Q - 3 19
2115,10,3415276,4.5013,100.0,1.556,r2n1n1k/1p1bb2r/1q2p2p/p2pP1pQ/3P3P/P4NP1/1P2N1B1/R1B1KR2 w Q - 1 22
2120,10,1433171,4.127,100.0,0.605,r4n1k/1p1bbn1r/1q2p3/p2pP1N1/3P2Q1/P5P1/1P2N1B1/R1B1KR2 b Q - 0 24
2125,10,2658948,4.3901,100.0,1.186,r4n1k/1p1bb2r/4p3/p2pP1B1/3P2Q1/q5P1/4N1B1/3RKR2 w - - 0 27
2130,10,2894,2.219,100.0,0.001,r4n1k/1p1b1r2/4pP2/p2p3Q/3P4/q5P1/4N1B1/3RKR2 b - - 2 29
2135,10,971814,3.9697,100.0,0.443,r4n1k/1p5r/4pP2/p2p3b/3P2Q1/q5P1/4NKB1/3R1R2 w - - 7 32
2140,10,3972735,4.5699,100.0,1.815,r6k/1p5r/4pPn1/p2p4/3P2Q1/q5P1/4K1B1/3R1R2 b - - 2 34
2145,10,40,1.4461,100.0,0.0,r6k/1p5r/4pPn1/p2p4/3P2Q1/6P1/3R2B1/1q2KR2 w - - 7 37
2150,10,1678362,4.1926,100.0,0.759,r6k/1p5r/4pPn1/p2p4/3P2Q1/2q3P1/5RB1/3R1K2 b - - 12 39
2155,10,1485947,4.1419,100.0,0.637,r4n1k/1p5r/4pP2/p2p4/3P2Q1/1q4P1/5RB1/4R1K1 w - - 17 42
2160,10,1376593,4.1104,100.0,0.57,r6k/1p5B/4pR2/p2p4/3P2Q1/1q4P1/8/4R1K1 b - - 0 44
2165,10,30,1.4051,100.0,0.0,5r1k/1p6/4R3/p2p4/3P2Q1/6P1/8/1B2q1K1 w - - 0 47
2170,10,10,1.2589,100.0,0.0,5r2/1p4kQ/8/3p4/p2P4/6P1/8/1B2R1K1 b - - 3 49
2175,10,2046197,4.2766,100.0,0.889,rnbq1rk1/pp2ppbp/3p1np1/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 w - - 4 8
2180,10,686900,3.8343,100.0,0.303,r1bq1rk1/p3ppbp/2pp1np1/8/4P3/2N1B2P/PPP1BPP1/R2Q1RK1 b - - 1 10
2185,10,1849476,4.2336,100.0,0.802,r1bq1rk1/p2n1pbp/2p1p1p1/3pP3/5P2/2N1B2P/PPP1B1P1/R2Q1RK1 w - - 0 13
2190,10,3141739,4.4639,100.0,1.408,r1bq1rk1/p2n1pbp/2p1p3/3pP3/5P2/2N1BB1P/PPP5/R2Q1RK1 b - - 0 15
2195,10,1435873,4.1277,100.0,0.672,r1b2rk1/p2n2bp/2p1p1q1/3p4/5P2/2N1B2P/PPP3B1/R2Q1RK1 w - - 2 18
2200,10,1709134,4.2003,100.0,0.672,1r3rk1/p2n2bp/b1p1p1q1/3p4/N4P2/4B2P/PPPQ1RB1/R5K1 b - - 7 20
2205,10,1520715,4.1515,100.0,0.695,1r3rk1/p5bp/2p1pn1q/3p4/N1b2P2/4B2P/PPPQ1RBK/6R1 w - - 12 23
2210,10,2884290,4.4259,100.0,1.213,1r3r1k/p5bp/2p1p2q/3p4/N1b2P2/4B2P/PPPQ1RBK/6R1 b - - 2 25
2215,10,1856486,4.2352,100.0,0.824,1r3r1k/p5bp/2p5/2NppP1q/8/4B2P/bPPQ1RBK/6R1 w - - 1 28
2220,10,1548820,4.1591,100.0,0.733,1r3r1k/p2N1qbp/2B5/4pPB1/3p4/7P/bPPQ1R1K/6R1 b - - 0 30
2225,10,1237214,4.0667,100.0,0.476,1r3r1k/p2N1qbp/2B2P2/8/8/4p2P/bPPQ1R1K/6R1 w - - 0 33
2230,10,4238653,4.5996,100.0,1.749,5r1k/p2N2qp/2B5/8/8/4Q2P/bPP4K/6R1 b - - 0 35
2235,10,890351,3.9351,100.0,0.291,7k/p2N2rp/2B5/8/8/1b2Q2P/2P4K/8 w - - 0 38
2240,10,2906,2.2199,100.0,0.001,8/p2B2kp/8/4Q3/8/1P5P/7K/8 b - - 2 40
2245,10,1268845,4.077,100.0,0.404,4B2k/p6p/4Q3/8/8/1P5P/7K/8 w - - 7 43
2250,10,1303442,4.088,100.0,0.526,r3kbnr/pp1b1ppp/1qn1p3/3pP3/3P4/5N1P/PP2BPP1/RNBQK2R b KQkq - 0 8
2255,10,1840392,4.2315,100.0,0.817,r3k2r/pp1bbppp/1qn1p3/3pPn2/3P4/5N1P/PPN1BPP1/R1BQK2R w KQkq - 5 11
2260,10,1372795,4.1092,100.0,0.561,2kr3r/pp1bbpp1/1qn1p2p/3pPn2/3P4/P4N1P/1PN1BPP1/R1BQR1K1 b - - 1 13
2265,10,1148942,4.0367,100.0,0.494,1k1r3r/1p1bbpp1/1qn1p2p/3pPn2/p2P1B2/P2Q1N1P/1PN1BPP1/R3R1K1 w - - 0 16
2270,10,1777833,4.2169,100.0,0.776,1k1rr3/1p1bbpp1/1qn1p2p/3pPn2/3P1B2/PR1Q1N1P/2N1BPP1/4R1K1 b - - 0 18
2275,10,3317068,4.4882,100.0,1.376,1kbrr3/1pq1bpp1/2n1p2p/3pP3/3P1BPn/PR1Q1N1P/2N1BP2/1R4K1 w - - 3 21
2280,10,1074739,4.0099,100.0,0.448,1kbrr3/1pq2pp1/4p2p/3pP3/1R1P1BPb/P2Q3P/4BP2/1R4K1 b - - 0 23
2285,10,670259,3.8249,100.0,0.248,1kbrr3/1pq3p1/4pp2/3pP1p1/1R1P2P1/P3Q2P/4BP2/1R4K1 w - - 0 26
2290,10,524845,3.7325,100.0,0.223,1kbrr3/1p3qp1/4p3/3pPPp1/1R1P4/P5QP/4BP2/2R3K1 b - - 0 28
2295,10,1702338,4.1986,100.0,0.736,1kbr4/1p2r1p1/4p3/2QpP1p1/1R1P1q2/P6P/4BP2/2R3K1 w - - 4 31
2300,10,1106308,4.0215,100.0,0.501,1kbr4/5rp1/4p3/1BQpP1p1/R2P1q2/P6P/5P2/5RK1 b - - 2 33
2305,10,1905790,4.2463,100.0,0.777,1kb2q2/1r4p1/2Brp3/Q2pP1p1/R2P4/P6P/5P2/5RK1 w - - 7 36
2310,10,2769297,4.408,100.0,1.038,5Q2/1bk3p1/3rp3/3pP1p1/R2P4/P6P/5P2/5RK1 b - - 0 38
2315,10,2274283,4.322,100.0,0.794,5Q2/2k3p1/2b1p3/3pP1p1/R2P4/P6P/5P2/6K1 w - - 0 41
2320,10,72,1.5337,100.0,0.0,8/1k4p1/3Qp3/1R1pP1p1/3P4/P6P/5P2/6K1 b - - 0 43
2325,10,1260721,4.0744,100.0,0.512,r1bqk1nr/pp3pbp/2npp1p1/2p5/4PP2/2NPB1P1/PPP3BP/R2QK1NR b KQkq - 1 7
2330,10,789013,3.8878,100.0,0.364,1rbq1rk1/pp3pbp/2npp1pn/2p5/4PP2/2NPB1PP/PPP1N1B1/R2QK2R w KQ - 3 10
2335,10,1901068,4.2452,100.0,0.84,1rbq1rk1/pp4bp/3pp1pn/2p2p2/3nPP2/2NPB1PP/PPPQN1B1/2KRR3 b - - 3 12
2340,10,1312912,4.0909,100.0,0.585,1rb2rk1/6bp/1q1pp1pn/ppp2p2/1P1nPP2/P1NPB1PP/2PQN1B1/2KRR3 w - - 0 15
2345,10,1875779,4.2395,100.0,0.849,1r3rk1/1b4bp/1q1pp1pn/1pp2p2/1P1nPP2/3PB1PP/N1PQN1B1/1K1RR3 b - - 2 17
2350,10,1003655,3.9825,100.0,0.46,1r3rk1/1b4bp/3pp1pn/1pp2p2/qP2PP2/1nPPB1PP/N1Q1N1B1/1K1RR3 w - - 3 20
2355,10,3049704,4.4507,100.0,1.315,1r3rk1/1b4bp/3Rp1pn/5p2/qPp1PP2/1nP1B1PP/NKQ1N1B1/4R3 b - - 0 22
2360,10,2865689,4.4231,100.0,1.315,1r3rk1/6bp/4R1p1/3b1n2/qPp1pP2/1nP3PP/NKQ1N1B1/2B1R3 w - - 3 25
2365,10,25,1.3797,100.0,0.0,1r3rk1/6bp/6p1/3BRn2/q1p2P2/1nP3PP/NKQ1N3/2B1R3 b - - 0 27
2370,10,1396739,4.1163,100.0,0.618,1r3r1k/6bp/6p1/3BR3/qNp1nP2/1nP3PP/1K2N3/2B1R3 w - - 0 30
2375,10,5569238,4.7269,100.0,2.204,5r1k/6bp/6p1/4R3/1qp1BP2/1n4PP/K3N3/2B1R3 b - - 1 32
2380,10,381,1.8117,100.0,0.0,1r5k/7p/6p1/4P3/2p1B3/Bn4PP/K2qN3/4R3 w - - 3 35
2385,10,4518003,4.6291,100.0,1.518,7k/1r5p/6p1/4P3/1Bp5/6PP/3qN3/1Kn1R3 b - - 1 37
