############ tt-always ############
engine   snapshots/tt-always
depth    10 fixed, clock 3600000 ms (time is not a factor)
sampling every 5 plies, table NEVER cleared

  ply  depth       nodes    EBF     occ%    sec  position
 1125     10     222,880   3.43   99.715   0.10  8/5p2/1p2k1pp/3p4/Ppr1P1P1/1R1K1P1P/8/8 
 1130     10     207,350   3.40   99.716   0.08  8/5p2/1p2k3/3p3p/Ppr1P2P/3K1P2/8/1R6 b -
 1135     10     180,602   3.35   99.719   0.07  8/5p2/1p6/3pk2p/Pp2P2P/5r2/3K4/6R1 w - -
 1140     10     240,296   3.45   99.722   0.10  8/5p2/1p1P4/6Rp/P2k3P/1p3r2/3K4/8 b - - 
 1145     10      89,962   3.13   99.723   0.04  8/5p2/1p1r4/7p/P6P/1pk5/8/2K3R1 w - - 0 
 1150     10     108,512   3.19   99.724   0.05  8/5p2/1p6/7p/Pk5P/1p6/3r4/2K3R1 b - - 5 
 1155     10      74,295   3.07   99.725   0.03  8/5p2/1p6/7p/P6P/kp6/7r/1KR5 w - - 10 55
 1160     10      31,282   2.82   99.725   0.01  8/5p2/1p6/7p/P7/kp6/7r/1K1R4 b - - 3 57
 1165     10      38,296   2.87   99.726   0.01  8/5p2/8/p7/7p/kp6/6r1/1K3R2 w - - 0 60
 1170     10     278,690   3.50   99.727   0.08  8/5p2/8/p7/8/kp6/6rp/K1R5 b - - 1 62
 1175     10   2,578,254   4.38   99.737   1.11  r1bqk2r/ppp2ppp/2np1n2/2b1p3/P1B1P3/2PP1
 1180     10     585,731   3.77   99.748   0.25  r1bq1rk1/1pp2ppp/1bnp1n2/p3p3/P1B1P3/2PP
 1185     10   2,089,793   4.29   99.758   0.91  r2q1rk1/bpp2ppp/2npbn2/p3p3/P1N1P3/1BPP1
 1190     10     936,642   3.96   99.766   0.41  1r1qr1k1/bpp2pp1/2npbn1p/p3p3/P3P3/1BPPN
 1195     10     299,142   3.53   99.774   0.12  1r1qr1k1/bppb1pp1/2np3p/p2Pp3/P5P1/1BPP1
 1200     10   1,119,225   4.03   99.782   0.48  1r1qr1k1/bppb1pp1/3p3p/p2Pp3/P2P1nP1/2P2
 1205     10     595,683   3.78   99.787   0.25  1r1qb1k1/bpp2pp1/3p3p/p2P4/P2P1pP1/2P2N1
 1210     10   2,707,350   4.40   99.796   1.03  1r1qb1k1/1p3pp1/1b1p3p/p2p4/P2P1QP1/2P2N
 1215     10   1,044,297   4.00   99.800   0.45  1r1qb3/1p3pk1/1b1p2pp/p2p4/P2P1QPP/2P2N2
 1220     10     754,385   3.87   99.808   0.31  2rq2k1/1p3p2/1bbp2pp/p2p4/P2P2PP/2P1RNQ1
 1225     10   1,277,031   4.08   99.814   0.55  3q4/1pr2pk1/1bbp2pp/p2p3P/P2P1QP1/2P1RN2
 1230     10   1,255,578   4.07   99.818   0.51  5k2/1pr2p1Q/1bbp1q1p/p2p2pP/P2P2P1/2P1RN
 1235     10   1,253,555   4.07   99.822   0.57  5k2/1p2rpq1/1bbp3p/p2p2pP/P2P2P1/2PQ1R2/
 1240     10     761,629   3.87   99.825   0.33  5qk1/1pb1rp2/2bp3p/p2p2pP/P2P2P1/1BPQ1R2
 1245     10     331,440   3.56   99.828   0.14  2q3k1/1pb2p2/2bp3p/p2p2pP/P2P2P1/1BPQR3/
 1250     10   1,314,039   4.09   99.833   0.56  6k1/1p3p2/1bbp3p/p2p1Qpq/P2P4/1BP1R3/1P3
 1255     10     162,505   3.32   99.838   0.07  6k1/1p3p2/1bbp3p/p2p1Qp1/P2PB3/2P1R3/1P2
 1260     10     805,810   3.90   99.842   0.32  6k1/1p3p2/1bbQ4/p6p/P2Pp1p1/2P1R3/1P2KP2
 1265     10     492,849   3.71   99.845   0.20  5k2/1p3p2/1bb5/p2P4/P3p1pQ/2P1R3/1P2KP2/
 1270     10   1,085,035   4.01   99.849   0.42  8/1p2kp2/1Qb5/p7/P3p1p1/2P1R3/1P2KP2/8 w
 1275     10     587,306   3.77   99.852   0.24  8/1p3p2/2b2k2/p7/P1Q1p1p1/2P3R1/1P2KP2/8
 1280     10     800,947   3.89   99.866   0.29  8/1p3p2/2b5/p3k3/P1Q1pR2/2P5/1P2KP2/8 w 
 1285     10   9,249,751   4.97   99.892   3.25  8/1p3R2/3k4/p2b4/P1PQp3/8/1P2KP2/8 b - -
 1290     10  12,273,477   5.12   99.932   4.26  8/1R6/k7/p2Q4/P1P1p3/8/1P2KP2/8 w - - 1 
 1295     10     658,155   3.82   99.934   0.30  r1bq1rk1/pp2np1p/2npp1pQ/2p5/4P3/2NP2P1/
 1300     10   1,913,531   4.25   99.937   0.88  r1bq1rk1/pp2np1p/2n3pQ/2p1p3/3pP3/3P2P1/
 1305     10   1,171,105   4.04   99.940   0.55  r1bq1rk1/p3n2p/2n2ppQ/1pp1p3/3pP3/2PP1NP
 1310     10   1,783,370   4.22   99.942   0.71  r1bq1rk1/4n2p/5ppQ/pp2p3/3pP3/3P1NP1/PP3
 1315     10     696,800   3.84   99.943   0.30  r2q1rk1/4n2p/4bppQ/1p2p2P/p2pP3/P2P1NP1/
 1320     10     757,798   3.87   99.945   0.30  r4rk1/4nb2/3q1ppQ/1p2p3/p2pP2N/P2P2P1/1P
 1325     10     196,356   3.38   99.945   0.08  r4rk1/5b2/3q1p1Q/1p2pPp1/p2p4/P2P2P1/1P3
 1330     10     242,294   3.45   99.948   0.10  5rk1/r7/5p1Q/1p1qpPp1/p2p4/P2P2P1/1P3P2/
 1335     10   1,384,838   4.11   99.950   0.63  5rk1/r7/5p1Q/4pPp1/pp1p4/P2P2P1/qP2RPK1/
 1340     10         674   1.92   99.950   0.00  5rk1/6r1/5p1Q/3qpPp1/p2p4/p2P2P1/1PR2PK1
 1345     10   1,069,824   4.01   99.952   0.50  5rk1/1q4r1/5p1Q/4pP2/p2p2pR/P2P1PP1/2R3K
 1350     10     372,966   3.61   99.953   0.18  4r1k1/1q4r1/5p1Q/2R1pP2/p2p2pR/P2P2P1/7K
 1355     10   2,124,486   4.29   99.955   1.01  4r3/1q2k1r1/5p2/2R1pP1Q/p2p2R1/P2P2P1/7K
 1360     10   1,918,695   4.25   99.958   0.85  5r2/1q2kr2/5pQ1/2R1pP2/p2p3R/P2P2P1/7K/8
 1365     10          57   1.50   99.961   0.00  R2k1r2/2q2r2/5pQ1/4pP2/p2pR3/P2P2P1/7K/8
 1370     10     789,296   3.89   99.963   0.35  3k1r2/3q1r2/R4pQ1/4pP2/p2p3R/P2P2P1/7K/8
 1375     10       7,589   2.44   99.964   0.00  R4r2/3qk2Q/5p2/4pP2/p2p4/P2P2P1/7K/8 b -
 1380     10     553,234   3.75   99.964   0.24  RQ6/2q2r2/3k1p2/4pP2/p2p4/P2P2P1/7K/8 w 
 1385     10     646,246   3.81   99.965   0.27  6Q1/3k1r2/R4p2/4pP2/p2p4/P2P2PK/2q5/8 b 
 1390     10     361,374   3.60   99.966   0.12  6Q1/5q2/3k1p2/4pP2/p2p4/P2P2PK/8/8 w - -
 1395     10          20   1.35   99.967   0.00  8/8/8/2k1QP2/p2pp3/P2P2PK/8/8 b - - 1 60
 1400     10  41,265,286   5.78   99.976  14.30  8/5P2/2k5/4Q3/p2p4/P2p2PK/8/8 w - - 1 63
 1405     10     956,016   3.96   99.983   0.41  r1bq1rk1/pp2ppbp/2np1np1/2p5/4P2P/2NP2P1
 1410     10   1,337,443   4.10   99.984   0.57  2rq1rk1/pp2ppbp/2np1np1/2pN4/4P1bP/2PP2P
 1415     10     974,906   3.97   99.984   0.46  2rq1rk1/pp1nppbp/3p2p1/2pP4/5PbP/2PP2P1/
 1420     10   1,437,329   4.13   99.984   0.62  2rq1rk1/pp2ppbp/3p1np1/2pP1b2/P2P1P1P/2P
 1425     10     389,298   3.62   99.985   0.17  2rq1rk1/1p2ppbp/3p2p1/p2P1b2/P1pP1PnP/R1
 1430     10   1,318,924   4.09   99.985   0.52  2r2rk1/1p1qppbp/3p2p1/p2P4/P1pP1PnP/1PPb
 1435     10     366,157   3.60   99.985   0.16  2r2rk1/1p2ppbp/3p2p1/p2P4/P1pPqPnP/1PP3P
 1440     10   2,032,303   4.27   99.986   0.80  5rk1/1p2ppbp/3p2p1/p2q1P2/P1rP2nP/2P3P1/
 1445     10   1,766,548   4.21   99.987   0.83  5rk1/1p2ppbp/3p4/pR3p2/P1rP1RnP/2Pq2P1/3
 1450     10   2,051,179   4.28   99.987   0.90  5rk1/1R2ppbp/3p4/p4p2/P2P1RnP/2N3q1/3B4/
 1455     10   1,456,101   4.13   99.988   0.64  5rk1/1q2ppbp/3p4/p4p2/P2P1RnP/2NK4/3B4/3
 1460     10   3,047,711   4.45   99.988   1.38  5rk1/5pbp/3pp3/p7/Pq1P1RnP/2NK1Q2/3B4/8 
 1465     10     490,363   3.71   99.989   0.22  6k1/5pb1/3pp3/p6p/Pq1P1RnP/2r5/3BK1Q1/8 
 1470     10   1,697,188   4.20   99.989   0.76  5bk1/5p2/3pp3/p6p/P2P1RnP/2q2Q2/4K3/8 b 
 1475     10     133,000   3.25   99.989   0.06  5bk1/5p2/4p3/p2p4/P1qP2pP/5Q2/8/4K3 w - 
 1480     10     495,739   3.71   99.990   0.20  6k1/5p2/4p3/p2p4/P1qb2QP/8/8/4K3 b - - 1
 1485     10     229,298   3.44   99.990   0.10  3Q4/5pk1/4p3/p2p4/q2b3P/8/8/4K3 w - - 2 
 1490     10     268,696   3.49   99.990   0.11  6k1/5p2/4p3/p2p2Q1/q2b3P/8/8/4K3 b - - 7
 1495     10   1,392,991   4.12   99.991   0.57  6k1/5pb1/4p3/3p2Q1/p6P/8/5K2/3q4 w - - 0
 1500     10     680,662   3.83   99.991   0.29  6k1/5pb1/4p2P/3p2Q1/3q4/p7/6K1/8 b - - 2
 1505     10     286,219   3.51   99.992   0.10  6k1/5pP1/4p3/3p2Q1/4q3/8/5K2/q7 w - - 0 
 1510     10     945,036   3.96   99.994   0.43  r1bq1rk1/pp2ppbp/2np1np1/2p5/4P2P/2NP2P1
 1515     10     180,466   3.35   99.994   0.07  2rq1rk1/pp2ppbp/2np2p1/2pn4/4P1bP/2PP2P1
 1520     10     355,658   3.59   99.994   0.16  2rq1rk1/pp1nppbp/3p2p1/2pP4/5PbP/2PPB1P1
 1525     10     223,867   3.43   99.994   0.10  2rq1rk1/pp2ppbp/3p2p1/2pP1b2/P2P1PnP/2P1
 1530     10     802,059   3.89   99.994   0.35  2rq1rk1/1p2ppbp/3p2p1/p2P1b2/P1pP1PnP/RP
 1535     10      63,239   3.02   99.994   0.03  2r2rk1/1p2ppbp/3p2p1/p2P1q2/P1pP1PnP/1PP
 1540     10     410,880   3.64   99.994   0.15  2r2rk1/1p2ppbp/3p2p1/p2P4/P1pPqPnP/1PP3P
 1545     10     549,906   3.75   99.994   0.25  5rk1/1p2ppbp/3p4/p2q1p2/P1rP2nP/2P3P1/3B
 1550     10     604,912   3.79   99.994   0.26  5rk1/1R2ppbp/3p4/p4p2/P1rP1RnP/2Pq2P1/3B
 1555     10      40,533   2.89   99.994   0.02  5rk1/1R2ppbp/3p4/p4p2/P2P1RnP/2N4q/3B4/3
 1560     10     937,220   3.96   99.994   0.41  5rk1/1q2ppbp/3p4/p4R2/P2P2nP/2NK4/3B4/3Q
 1565     10     802,621   3.89   99.994   0.38  5rk1/5pb1/3pp3/p6p/Pq1P1RnP/2NK1Q2/3B4/8
 1570     10          40   1.45   99.994   0.00  Q5k1/5pb1/3pp3/p6p/Pq1P1RnP/2r5/3BK3/8 b
 1575     10      67,952   3.04   99.995   0.03  5bk1/5p2/3pp3/p6p/P1qP1RnP/5Q2/4K3/8 w -
 1580     10      82,298   3.10   99.995   0.04  5bk1/5p2/4p3/p2p4/P1qP2QP/8/8/4K3 b - - 
 1585     10      74,209   3.07   99.995   0.03  5k2/5p2/4p3/p2p4/P1qb2QP/8/8/4K3 w - - 2
 1590     10      83,944   3.11   99.995   0.03  8/5pk1/4p3/p2p2Q1/q2b3P/8/8/4K3 b - - 3 
 1595     10     850,123   3.92   99.995   0.35  6k1/5pb1/4p3/p2p2Q1/q6P/8/8/4K3 w - - 8 
 1600     10   1,115,842   4.02   99.995   0.45  6k1/5pb1/4p3/3p2QP/p7/8/5K2/3q4 b - - 0 
 1605     10      85,929   3.11   99.995   0.04  6k1/5pb1/4p2P/3p2Q1/3q4/8/p5K1/8 w - - 0
 1610     10          20   1.35   99.995   0.00  3Q2k1/5pP1/4p3/3p4/4q3/8/5K2/q7 b - - 1 
 1615     10     456,768   3.68   99.996   0.21  r1bqk2r/pp2ppbp/2Np2p1/8/4P1n1/2N1B3/PPP
 1620     10   1,958,331   4.26   99.996   0.83  r2qk2r/p3ppbp/3p2p1/2p5/4P1b1/2N1B3/PPPQ
 1625     10     417,474   3.65   99.996   0.16  1r2k2r/p3ppbp/3p2p1/q1pN4/4P1b1/1P2B3/P1
 1630     10   1,376,421   4.11   99.996   0.63  1r2k2r/p3pp1p/3pb1pQ/2pN4/4P3/1P6/q1P2PP
 1635     10     189,161   3.37   99.996   0.08  1r5r/p2kp2p/3pp1pQ/2p5/4P3/1P6/q1P2PPP/2
 1640     10   1,203,779   4.06   99.996   0.55  1r5r/3kp2p/4p1pQ/2ppP3/P7/8/q1P2PPP/2R2R
 1645     10     675,661   3.83   99.996   0.30  1r5r/3kp2p/P3p1pQ/2ppP3/8/8/4qPPP/R4RK1 
 1650     10   4,101,523   4.58   99.997   1.92  r6r/P2kp2p/3qp1pQ/2pp4/8/8/5PPP/R3R1K1 w
 1655     10     717,182   3.85   99.997   0.34  r6r/P2kp2p/Rq2p1pQ/3p4/2p5/8/5PPP/R5K1 b
 1660     10   1,616,159   4.18   99.997   0.75  r6r/P2kp2p/R3p1p1/3p1q2/2p5/7Q/5PPP/3R2K
 1665     10     258,515   3.48   99.997   0.12  r6r/P3pk1p/4R1p1/3p1q2/2p5/Q7/5PPP/4R1K1
 1670     10     308,339   3.54   99.997   0.12  r6r/P2kp2p/6p1/3p4/2p5/4Q3/5PPP/6K1 w - 
 1675     10     687,646   3.83   99.997   0.29  r6r/P6p/3kp1p1/3p4/2pQ4/8/5PPP/6K1 b - -
 1680     10     622,976   3.80   99.997   0.25  r6r/P7/4p1p1/3p1k1p/2p5/8/1Q3PPP/6K1 w -
 1685     10         616   1.90   99.997   0.00  r6r/P7/4Q1p1/3p3p/2p1k3/8/6PP/6K1 b - - 
 1690     10   1,106,309   4.02   99.997   0.49  r4r2/P7/1Q6/3p3p/2p5/3k4/6PP/6K1 w - - 3
 1695     10     501,834   3.72   99.997   0.21  r4r2/P7/8/3pQ2p/2p5/8/2k3PP/6K1 b - - 8 
 1700     10     156,972   3.31   99.997   0.07  4rr2/P7/8/3p4/2p5/6Pp/2k4P/Q5K1 w - - 0 
 1705     10     985,608   3.98   99.997   0.46  4rr2/P7/8/8/2pp2P1/3k3p/7P/Q5K1 b - - 0 
 1710     10      69,039   3.05   99.997   0.03  4rr2/P7/8/8/Q2p2P1/2pk3p/7P/6K1 w - - 4 
 1715     10     679,661   3.83   99.997   0.29  rn1qk2r/pbppbppp/1p2pn2/8/2PP4/5NP1/PP2P
 1720     10     559,188   3.76   99.997   0.23  rn1q1rk1/1bppbppp/1p3n2/p2p4/2P5/2N2NP1/
 1725     10   1,883,800   4.24   99.998   0.84  rn1qr1k1/1bpp1ppp/1p3n2/p1bP1N2/8/2N3P1/
 1730     10   3,328,937   4.49   99.998   1.58  r2qr1k1/1bpn1p1p/1p1p1np1/p1bP1N2/N4B2/6
 1735     10   1,831,090   4.23   99.998   0.80  r2qr3/1bpn1pkp/1p1p2pN/p1bP3n/N7/P5P1/1P
 1740     10   1,333,478   4.10   99.998   0.55  r2qr3/1bp3kp/3p2p1/ppnP1p1n/6N1/P5P1/1P2
 1745     10          43   1.46   99.998   0.00  r3r3/1bp3kp/3p1qpB/ppnP1p2/3Q4/P5P1/1P2P
 1750     10     350,794   3.59   99.998   0.13  r3r3/1bp4p/3p1kp1/pp1P1p2/8/Pn2B1P1/1P2P
 1755     10     339,137   3.57   99.998   0.13  r3r3/2p4p/b2p1kp1/p2P1p2/1p6/Pn2BBP1/1P2
 1760     10     838,055   3.91   99.998   0.34  r3r3/2p5/b2p2k1/p2P1ppp/1p6/Pn2BBPP/1P2P
 1765     10     581,235   3.77   99.998   0.23  r3r3/2p5/3p2k1/p2P1p1p/1pb3p1/Pn2B1PP/1P
 1770     10     540,669   3.74   99.998   0.22  4r3/2p5/3p2k1/p2Pr2p/1pb3p1/Pn2B1P1/1P2P
 1775     10     758,928   3.87   99.998   0.29  4r3/2p4k/3p4/p2Pr2p/1pb3p1/Pn2B1P1/1P2PP
 1780     10     249,026   3.46   99.998   0.11  4r3/B1p5/3p2k1/p2Pr2p/1Pb3p1/1n4P1/1P2PP
 1785     10     618,648   3.79   99.998   0.24  1r6/2p5/3p2k1/3Pr2p/1pbB2p1/1n4P1/1P2PP2
 1790     10     204,161   3.40   99.998   0.08  r3r3/2p2k2/3p4/3P3p/1pb3p1/1n2B1P1/1P2PP
 1795     10     419,010   3.65   99.998   0.17  8/2p2k2/3p4/3Pr2p/1pb3p1/1n2B1P1/rP2PPBK
 1800     10     324,016   3.56   99.998   0.13  8/2p5/3p2k1/3Pr2p/1pb3p1/1n2B1P1/2r1PPBK
 1805     10     410,849   3.64   99.998   0.17  4r3/2p5/3p2k1/3P3p/1pb3p1/1n2B1P1/2r1PPB
 1810     10         968   1.99   99.998   0.00  4r3/2p2k2/3p4/3P3p/1pb3p1/1n2B1P1/2r1PPB
 1815     10     757,758   3.87   99.998   0.33  r1b2rk1/pp1nqppp/2pbpn2/3p4/2PP4/1PN1PN2
 1820     10   1,239,567   4.07   99.999   0.55  r4rk1/1b1nqppp/1ppbpn2/p2p4/P1PP4/1PN1PN
 1825     10   1,035,180   3.99   99.999   0.45  r2r2k1/1b1nqppp/1ppbpn2/p7/P1PP4/2NBPN2/
 1830     10     491,739   3.71   99.999   0.20  r2r2k1/3nqpp1/1p1bpn1p/pNp5/P1PP4/3BPb1P
 1835     10     499,696   3.71   99.999   0.21  r2r2k1/3nqpp1/1p1Np2p/p6n/P1PP4/3B1P1P/1
 1840     10   1,255,777   4.07   99.999   0.55  2rr3k/3n1pp1/1p1qp2p/p6n/P1PPB3/5P1P/1BQ
 1845     10     721,959   3.85   99.999   0.31  3r3k/2rn2p1/1p1qp2p/p4p1n/P1PP4/3B1P1P/1
 1850     10   1,509,923   4.15   99.999   0.69  5nrk/2r3p1/1p1qp2p/p4p2/P1PP1n1P/3B1P2/1
 1855     10     243,541   3.46   99.999   0.11  5nrk/6p1/1p2p2p/p1rPRp2/P1P2n1P/3B1P2/3Q
 1860     10     897,985   3.94   99.999   0.43  2r4k/6p1/1p2P1np/p1r2p2/P1P4P/3B1P2/3Q1P
 1865     10     438,969   3.67   99.999   0.21  3r3k/4n1p1/1p2P2p/p1r2p1P/P1P4Q/3B1P2/5P
 1870     10     188,542   3.37   99.999   0.08  4r2k/4n1p1/1Qr1P2p/p4p1P/P1P5/3B1P2/5P2/
 1875     10     310,872   3.54   99.999   0.14  2r4k/2r1n1p1/4P2p/Q4p1P/P1P5/3B1P2/5P2/4
 1880     10     283,478   3.51   99.999   0.11  2r3k1/2r1n1p1/4P2p/5p1P/P1P2Q2/3B1P2/5P2
 1885     10   1,967,497   4.26   99.999   0.89  2r3k1/r3n3/3QP1Pp/P4p2/2P5/3B1P2/5P2/4R1
 1890     10     405,778   3.64   99.999   0.21  4r1k1/4n3/r3P1Pp/P1Q2B2/2P5/5P2/5P2/4R1K
 1895     10          24   1.37   99.999   0.00  4r3/4n1kQ/r3P1P1/P7/2P1B3/5P2/5P2/4R1K1 
 1900     10   7,157,218   4.85   99.999   2.63  4r3/1B2nQ2/r2kP1P1/P7/2P5/5P2/5P2/4R1K1 
 1905     10  23,205,542   5.45  100.000   8.49  4r3/1B2n3/r3P1P1/P7/1kPQ4/5P2/5P2/4R1K1 
 1910     10     737,730   3.86  100.000   0.34  r1bqk2r/2p1bppp/p2p1n2/np2p3/4P3/1B3N1P/
 1915     10   1,476,947   4.14  100.000   0.65  r2q1rk1/1bp1bppp/p2p1n2/np2p3/4P3/1BNPBN
 1920     10     301,117   3.53  100.000   0.12  2rq1rk1/1bp1bpp1/p2p1n1p/1p2p3/4P1P1/1nN
 1925     10     234,508   3.44  100.000   0.11  2rq1rk1/1bp1bpp1/p4n1p/3Pp3/1p2N1P1/1P1P
 1930     10     335,905   3.57  100.000   0.14  2r2rk1/1bp2pp1/p3qn1p/2b1p3/1pP3P1/1P1PB
 1935     10     840,480   3.91  100.000   0.37  2r1r1k1/1bp2pp1/p1q2n1p/4p3/1BP3P1/1P1PQ
 1940     10     517,431   3.73  100.000   0.21  2r1r1k1/2p2ppn/R6p/4p3/1BP3P1/1P1P1b1P/1
 1945     10     628,250   3.80  100.000   0.27  2r1r1k1/2p2pp1/R6p/4p1n1/2P3P1/1PBPR2P/1
 1950     10     317,924   3.55  100.000   0.13  2rr2k1/2p3p1/R4p1p/2P1p1n1/1P4P1/2BPR2P/
 1955     10     974,545   3.97  100.000   0.48  2rr2k1/R1p2np1/5p1p/2P1p3/1P4PP/1PBbR3/5
 1960     10     302,685   3.53  100.000   0.14  2rr2k1/R1p3p1/7p/2P1p3/1P2p1PP/1P1bR1K1/
 1965     10     181,894   3.36  100.000   0.08  2r3k1/R1p3p1/7p/1bP1p3/6PP/1P1rR1K1/5P2/
 1970     10     329,837   3.56  100.000   0.14  2r3k1/R1p3p1/2b4p/2P4P/1P2p1P1/4R1K1/5P2
 1975     10     524,238   3.73  100.000   0.22  2r3k1/2p3p1/R1b4p/2P4P/1P2p1P1/4R1K1/5P2
 1980     10     165,468   3.33  100.000   0.09  5rk1/R1p3p1/7p/2Pb3P/1P2p1P1/4R1K1/5P2/6
 1985     10   1,962,211   4.26  100.000   0.85  6k1/2R3p1/7p/2Pb3P/1P2p1r1/4R2K/5r2/8 b 
 1990     10     395,293   3.63  100.000   0.17  4R3/5kp1/7p/2P4P/1Pb1p3/4R2K/5r2/6r1 w -
 1995     10          76   1.54  100.000   0.00  8/4k1p1/4R2p/2P4P/1P6/7K/5r2/6r1 b - - 0
 2000     10     167,125   3.33  100.000   0.06  8/6p1/2P4p/1P5P/5k2/7K/5r2/6r1 w - - 1 5
 2005     10     554,044   3.75  100.000   0.27  r1bq1rk1/pp1pppbp/2n2np1/8/2Pp4/2N2NPP/P
 2010     10     917,217   3.95  100.000   0.41  r1bqr1k1/pp1pppbp/5np1/8/2PB4/2N3PP/PP2P
 2015     10   1,212,361   4.06  100.000   0.54  r1b1r1k1/pp2qpbp/3p1np1/4p3/2P5/1PN1B1PP
 2020     10   1,172,146   4.04  100.000   0.52  r2r2k1/pp2qpbp/3p1np1/1N2pb2/2P5/1P2B1PP
 2025     10   1,062,583   4.01  100.000   0.51  r2r2k1/pp2qpbp/3p2p1/1N2pb2/2P5/1P2BPPP/
 2030     10   1,367,869   4.11  100.000   0.65  r2r2k1/ppq2pbp/3Nb1p1/2P1p3/1Q6/1P2BPPP/
 2035     10   1,569,464   4.16  100.000   0.71  r5k1/1pqr1p1p/3Nbbp1/p1P1p3/Q7/1P2BPPP/P
 2040     10     815,808   3.90  100.000   0.37  5rk1/1pqr1p1p/3Nbbp1/p1P1p3/Q7/1P2BPPP/P
 2045     10     904,376   3.94  100.000   0.36  5rk1/1pq1rpb1/4b1p1/p1P1p2p/Q3N1P1/1P2BP
 2050     10   2,606,452   4.38  100.000   1.23  4rrk1/1pq2pb1/1R2b1p1/p1P1p3/Q3N1P1/1P2B
 2055     10     933,559   3.95  100.000   0.38  1rb2rk1/1p2qpb1/1R4p1/p1P1p1N1/2Q3P1/1P2
 2060     10   1,781,799   4.22  100.000   0.78  r4rk1/1p2qpb1/4b1R1/p1P1p1N1/4Q1P1/1P2BP
 2065     10   2,676,165   4.39  100.000   1.10  6k1/1p2q1b1/r3PrR1/p1P1p1N1/4Q3/1P2BP2/P
 2070     10   3,318,335   4.49  100.000   1.33  5k2/1p2qNbR/r3P1Q1/p1P1p3/8/1P2BP2/P3P1K
 2075     10  53,959,484   5.93  100.000  20.71  8/1p2kNbR/r4qQ1/p1P3B1/4p3/1P3P2/P3P1K1/
 2080     10  42,173,316   5.79  100.000  14.72  8/1p1k1NR1/r4BQ1/p1P5/8/1P3P2/P5K1/8 b -
 2085     10  63,297,092   6.03  100.000  20.76  1k6/1p4R1/4NBQ1/p1P5/8/1P3P2/P5K1/8 w - 
 2090     10   6,277,093   4.78  100.000   2.89  r1bqk2r/pp1nbppp/2n1p3/3pP3/3P1P2/5N2/PP
 2095     10   4,017,710   4.58  100.000   1.94  r1b2rk1/pp1nb1pp/1qn1pp2/3pP3/3P1P2/5NP1
 2100     10   3,289,426   4.48  100.000   1.44  r1b2r1k/pp1nb1pp/1qn1p3/3pP3/3P4/P4NP1/1
 2105     10     922,602   3.95  100.000   0.43  r1bn1r1k/1p1nb2p/1q2p3/p2pP1p1/3P1N2/P4N
 2110     10   1,172,690   4.04  100.000   0.57  r1bn3k/1p1nbr2/1q2p1Qp/p2pP1p1/3P4/P4NPP
 2115     10   5,350,272   4.71  100.000   2.50  r2n1n1k/1p1bb2r/1q2p2p/p2pP1pQ/3P3P/P4NP
 2120     10   1,428,526   4.13  100.000   0.62  r4n1k/1p1bbn1r/1q2p3/p2pP1N1/3P2Q1/P5P1/
 2125     10   1,895,024   4.24  100.000   0.89  r4n1k/1p1bb2r/4p3/p2pP1B1/3P2Q1/q5P1/4N1
 2130     10          32   1.41  100.000   0.00  r4n1k/1p1b1r2/4pP2/p2p3Q/3P4/q5P1/4N1B1/
 2135     10     298,424   3.53  100.000   0.13  r4n1k/1p5r/4pP2/p2p3b/3P2Q1/q5P1/4NKB1/3
 2140     10   3,258,961   4.48  100.000   1.57  r6k/1p5r/4pPn1/p2p4/3P2Q1/q5P1/4K1B1/3R1
 2145     10     164,449   3.32  100.000   0.08  r6k/1p5r/4pPn1/p2p4/3P2Q1/6P1/3R2B1/1q2K
 2150     10   1,626,100   4.18  100.000   0.78  r6k/1p5r/4pPn1/p2p4/3P2Q1/2q3P1/5RB1/3R1
 2155     10   1,975,715   4.26  100.000   0.90  r4n1k/1p5r/4pP2/p2p4/3P2Q1/1q4P1/5RB1/4R
 2160     10   1,579,873   4.17  100.000   0.63  r6k/1p5B/4pR2/p2p4/3P2Q1/1q4P1/8/4R1K1 b
 2165     10          30   1.41  100.000   0.00  5r1k/1p6/4R3/p2p4/3P2Q1/6P1/8/1B2q1K1 w 
 2170     10          10   1.26  100.000   0.00  5r2/1p4kQ/8/3p4/p2P4/6P1/8/1B2R1K1 b - -
 2175     10   2,231,693   4.31  100.000   0.98  rnbq1rk1/pp2ppbp/3p1np1/8/3NP3/2N5/PPP1B
 2180     10     480,159   3.70  100.000   0.21  r1bq1rk1/p3ppbp/2pp1np1/8/4P3/2N1B2P/PPP
 2185     10   2,799,961   4.41  100.000   1.30  r1bq1rk1/p2n1pbp/2p1p1p1/3pP3/5P2/2N1B2P
 2190     10   2,409,170   4.35  100.000   1.12  r1bq1rk1/p2n1pbp/2p1p3/3pP3/5P2/2N1BB1P/
 2195     10   2,473,889   4.36  100.000   1.22  r1b2rk1/p2n2bp/2p1p1q1/3p4/5P2/2N1B2P/PP
 2200     10   1,248,125   4.07  100.000   0.49  1r3rk1/p2n2bp/b1p1p1q1/3p4/N4P2/4B2P/PPP
 2205     10   2,909,848   4.43  100.000   1.44  1r3rk1/p5bp/2p1pn1q/3p4/N1b2P2/4B2P/PPPQ
 2210     10   2,875,674   4.42  100.000   1.25  1r3r1k/p5bp/2p1p2q/3p4/N1b2P2/4B2P/PPPQ1
